CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,05/16/2011,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,20,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",06/06/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,32,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,06/10/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,21,,,02/06/2016,Cycle Inspection / Initial Inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,06/28/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,48,,,02/06/2016,Cycle Inspection / Initial Inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,06/28/2011,Violations were cited in the following area(s).,05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,48,,,02/06/2016,Cycle Inspection / Initial Inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,06/28/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,48,,,02/06/2016,Cycle Inspection / Initial Inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,06/28/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,48,,,02/06/2016,Cycle Inspection / Initial Inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",07/21/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",07/21/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,15,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",07/21/2011,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,15,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",07/21/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
41391352,CASANOVAS BILLIARDS,QUEENS,102-02,43 AVENUE,11368,7188077671,"Bottled beverages, including water, sodas, juices, etc.",07/21/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,15,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,07/21/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,13,A,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
40924040,LORRI'S BIKINI LOUNGE,BROOKLYN,8922,AVENUE D,11236,7189270709,American ,07/21/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,07/21/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,18,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,07/21/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,18,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,07/21/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,18,B,07/21/2011,02/06/2016,Cycle Inspection / Re-inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,08/11/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,08/11/2011,02/06/2016,Cycle Inspection / Re-inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,08/11/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,9,A,08/11/2011,02/06/2016,Cycle Inspection / Re-inspection
40941055,CAFE 22,MANHATTAN,2309,7 AVENUE,10030,2122818500,Soul Food,09/16/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,10,A,09/16/2011,02/06/2016,Cycle Inspection / Re-inspection
40941055,CAFE 22,MANHATTAN,2309,7 AVENUE,10030,2122818500,Soul Food,09/16/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,09/16/2011,02/06/2016,Cycle Inspection / Re-inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,09/20/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,26,B,09/20/2011,02/06/2016,Cycle Inspection / Re-inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,09/20/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,B,09/20/2011,02/06/2016,Cycle Inspection / Re-inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,09/20/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,26,B,09/20/2011,02/06/2016,Cycle Inspection / Re-inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,09/20/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,26,B,09/20/2011,02/06/2016,Cycle Inspection / Re-inspection
41041594,THE DUGOUT,BRONX,880,RIVER AVENUE,10452,7185886912,American ,09/20/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,26,B,09/20/2011,02/06/2016,Cycle Inspection / Re-inspection
40536591,PORTOBELLO CAFE,STATEN ISLAND,4221,HYLAND BLVD.,10308,7183562233,Italian,10/04/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,B,10/04/2011,02/06/2016,Cycle Inspection / Re-inspection
40536591,PORTOBELLO CAFE,STATEN ISLAND,4221,HYLAND BLVD.,10308,7183562233,Italian,10/04/2011,Violations were cited in the following area(s).,99B,Other general violation.,Not Critical,24,B,10/04/2011,02/06/2016,Cycle Inspection / Re-inspection
40536591,PORTOBELLO CAFE,STATEN ISLAND,4221,HYLAND BLVD.,10308,7183562233,Italian,10/04/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,24,B,10/04/2011,02/06/2016,Cycle Inspection / Re-inspection
40536591,PORTOBELLO CAFE,STATEN ISLAND,4221,HYLAND BLVD.,10308,7183562233,Italian,10/04/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,24,B,10/04/2011,02/06/2016,Cycle Inspection / Re-inspection
40392668,LUCYS,MANHATTAN,135,AVENUE A,10009,2126733824,American ,10/04/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,10/04/2011,02/06/2016,Cycle Inspection / Re-inspection
41590819,ASIAN VIP LOUNGE,QUEENS,11000,ROCKAWAY BOULEVARD,11420,7182153308,American ,10/07/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,10,,,02/06/2016,Pre-permit (Non-operational) / Initial Inspection
41590819,ASIAN VIP LOUNGE,QUEENS,11000,ROCKAWAY BOULEVARD,11420,7182153308,American ,10/07/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,,,02/06/2016,Pre-permit (Non-operational) / Initial Inspection
41591310,STARBUCKS,QUEENS,11000,ROCKAWAY BOULEVARD,11420,6465881074,Pizza,10/07/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5,,,02/06/2016,Pre-permit (Non-operational) / Initial Inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,10/26/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,35,,,02/06/2016,Cycle Inspection / Initial Inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,10/26/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,35,,,02/06/2016,Cycle Inspection / Initial Inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,10/26/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,35,,,02/06/2016,Cycle Inspection / Initial Inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,10/26/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,35,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,11/01/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,28,,,02/06/2016,Cycle Inspection / Initial Inspection
41531136,AUGUST WILSON THEATRE,MANHATTAN,245,WEST   52 STREET,10019,2125825472,American ,11/02/2011,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2,A,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41175457,WINE AND ROSES BAR AND CAFE,MANHATTAN,286,COLUMBUS AVENUE,10023,2125799463,American ,11/02/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,B,11/02/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,10D,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",Not Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
40397029,ANGELO'S PIZZERIA/MIMMO'S RESTAURANT,STATEN ISLAND,6,SNEDEN AVE,10312,7183564233,Pizza/Italian,11/03/2011,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,23,B,11/03/2011,02/06/2016,Cycle Inspection / Re-inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,11/09/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,11/09/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,11/09/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,No violations were recorded at the time of this inspection.,,,Not Applicable,,,,02/06/2016,Trans Fat / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,Violations were cited in the following area(s).,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/15/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,26,,,02/06/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,11/15/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,11/15/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,11/15/2011,Violations were cited in the following area(s).,20F,Current letter grade card not posted.,Not Critical,,,,02/06/2016,Administrative Miscellaneous / Initial Inspection
