CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,11/15/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40482597,BROADWAY THEATRE,MANHATTAN,1681,BROADWAY,10019,2125867610,American ,11/15/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40761108,MY MOTHER'S PLACE,QUEENS,10436,ROCKAWAY BLVD,11417,7186418076,"Ice Cream, Gelato, Yogurt, Ices",11/17/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,11/17/2011,02/06/2016,Cycle Inspection / Initial Inspection
40761108,MY MOTHER'S PLACE,QUEENS,10436,ROCKAWAY BLVD,11417,7186418076,"Ice Cream, Gelato, Yogurt, Ices",11/17/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,11/17/2011,02/06/2016,Cycle Inspection / Initial Inspection
40761108,MY MOTHER'S PLACE,QUEENS,10436,ROCKAWAY BLVD,11417,7186418076,"Ice Cream, Gelato, Yogurt, Ices",11/17/2011,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,11/17/2011,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,11/22/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,11/22/2011,02/06/2016,Cycle Inspection / Initial Inspection
41472439,SAINT ANSELM,BROOKLYN,355,METROPOLITAN AVENUE,11211,7183845054,American ,11/22/2011,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,15,,,02/06/2016,Cycle Inspection / Initial Inspection
41472439,SAINT ANSELM,BROOKLYN,355,METROPOLITAN AVENUE,11211,7183845054,American ,11/22/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,15,,,02/06/2016,Cycle Inspection / Initial Inspection
41472439,SAINT ANSELM,BROOKLYN,355,METROPOLITAN AVENUE,11211,7183845054,American ,11/22/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,15,,,02/06/2016,Cycle Inspection / Initial Inspection
41467153,THE BLEND CAFE,BRONX,582       ,EAST FORDHAM ROAD                                                                                   ,10458,3475999424,American ,11/22/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,7,A,11/22/2011,02/06/2016,Cycle Inspection / Initial Inspection
41051001,FIORE DIMARE,STATEN ISLAND,227,MANSION AVENUE,10308,7182279771,Italian,11/22/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,12,A,11/22/2011,02/06/2016,Cycle Inspection / Re-inspection
41051001,FIORE DIMARE,STATEN ISLAND,227,MANSION AVENUE,10308,7182279771,Italian,11/22/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,11/22/2011,02/06/2016,Cycle Inspection / Re-inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,11/22/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,22,,,02/06/2016,Cycle Inspection / Initial Inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,11/22/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,22,,,02/06/2016,Cycle Inspection / Initial Inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,11/22/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,22,,,02/06/2016,Cycle Inspection / Initial Inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,11/22/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,,,02/06/2016,Cycle Inspection / Initial Inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,11/23/2011,02/06/2016,Cycle Inspection / Initial Inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,11/23/2011,02/06/2016,Cycle Inspection / Initial Inspection
41561140,COTTA,MANHATTAN,513,COLUMBUS AVENUE,10024,2128738500,Italian,11/23/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,11/23/2011,02/06/2016,Cycle Inspection / Initial Inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,11/23/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,11/23/2011,02/06/2016,Cycle Inspection / Re-inspection
41546465,SPICE,MANHATTAN,435,AMSTERDAM AVENUE,10024,2123625861,Thai,11/23/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,11/23/2011,02/06/2016,Cycle Inspection / Re-inspection
41574344,Almanac,MANHATTAN,28,7 AVENUE SOUTH,10014,2129327566,French,11/25/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,11/25/2011,02/06/2016,Cycle Inspection / Initial Inspection
41574344,Almanac,MANHATTAN,28,7 AVENUE SOUTH,10014,2129327566,French,11/25/2011,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,A,11/25/2011,02/06/2016,Cycle Inspection / Initial Inspection
40868689,PITA PAN CAFE,MANHATTAN,273,8 AVENUE,10011,2123373071,Middle Eastern,11/28/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,38,,,02/06/2016,Cycle Inspection / Initial Inspection
40868689,PITA PAN CAFE,MANHATTAN,273,8 AVENUE,10011,2123373071,Middle Eastern,11/28/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,38,,,02/06/2016,Cycle Inspection / Initial Inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/29/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,27,B,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/29/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,27,B,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/29/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,27,B,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41567090,SHOGA-SUSHI & OYSTER BAR,MANHATTAN,1698,2 AVENUE,10128,2128768836,Chinese,11/29/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,27,B,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41570645,WASAN,MANHATTAN,108,EAST 4 STREET,10003,2127771978,Japanese,11/29/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41570645,WASAN,MANHATTAN,108,EAST 4 STREET,10003,2127771978,Japanese,11/29/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,13,A,11/29/2011,02/06/2016,Cycle Inspection / Re-inspection
41316656,I SODI,MANHATTAN,105,CHRISTOPHER STREET,10014,2124145774,Italian,11/29/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,44,,,02/06/2016,Cycle Inspection / Initial Inspection
41316656,I SODI,MANHATTAN,105,CHRISTOPHER STREET,10014,2124145774,Italian,11/29/2011,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,44,,,02/06/2016,Cycle Inspection / Initial Inspection
41316656,I SODI,MANHATTAN,105,CHRISTOPHER STREET,10014,2124145774,Italian,11/29/2011,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,44,,,02/06/2016,Cycle Inspection / Initial Inspection
41316656,I SODI,MANHATTAN,105,CHRISTOPHER STREET,10014,2124145774,Italian,11/29/2011,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,44,,,02/06/2016,Cycle Inspection / Initial Inspection
41316656,I SODI,MANHATTAN,105,CHRISTOPHER STREET,10014,2124145774,Italian,11/29/2011,Violations were cited in the following area(s).,99B,Other general violation.,Not Critical,44,,,02/06/2016,Cycle Inspection / Initial Inspection
41630749,CLOW & CLOVER,BROOKLYN,291       ,KENT AVENUE                                       ,11249,7187828810,American ,11/30/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,4,,,02/06/2016,Pre-permit (Non-operational) / Initial Inspection
41630749,CLOW & CLOVER,BROOKLYN,291       ,KENT AVENUE                                       ,11249,7187828810,American ,11/30/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4,,,02/06/2016,Pre-permit (Non-operational) / Initial Inspection
40854101,LORENZOS BAR & GRILL (HILTON GARDEN),STATEN ISLAND,1100,SOUTH AVENUE,10314,7184772400,American ,11/30/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,14,,,02/06/2016,Cycle Inspection / Initial Inspection
40854101,LORENZOS BAR & GRILL (HILTON GARDEN),STATEN ISLAND,1100,SOUTH AVENUE,10314,7184772400,American ,11/30/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,14,,,02/06/2016,Cycle Inspection / Initial Inspection
40854101,LORENZOS BAR & GRILL (HILTON GARDEN),STATEN ISLAND,1100,SOUTH AVENUE,10314,7184772400,American ,11/30/2011,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,14,,,02/06/2016,Cycle Inspection / Initial Inspection
40576044,CIPRIANI DOWNTOWN RESTAURANT,MANHATTAN,376,WEST BROADWAY,10012,2123430999,Italian,11/30/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40576044,CIPRIANI DOWNTOWN RESTAURANT,MANHATTAN,376,WEST BROADWAY,10012,2123430999,Italian,11/30/2011,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
40576044,CIPRIANI DOWNTOWN RESTAURANT,MANHATTAN,376,WEST BROADWAY,10012,2123430999,Italian,11/30/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,29,,,02/06/2016,Cycle Inspection / Initial Inspection
41216071,DJ'S BAR & GRILL,BROOKLYN,480       ,CHESTER STREET                                    ,11212,9173272702,Caribbean,12/01/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41216071,DJ'S BAR & GRILL,BROOKLYN,480       ,CHESTER STREET                                    ,11212,9173272702,Caribbean,12/01/2011,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41216071,DJ'S BAR & GRILL,BROOKLYN,480       ,CHESTER STREET                                    ,11212,9173272702,Caribbean,12/01/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41216071,DJ'S BAR & GRILL,BROOKLYN,480       ,CHESTER STREET                                    ,11212,9173272702,Caribbean,12/01/2011,Violations were cited in the following area(s).,05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41216071,DJ'S BAR & GRILL,BROOKLYN,480       ,CHESTER STREET                                    ,11212,9173272702,Caribbean,12/01/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41158265,DEJAVU RESTAURANT,BROOKLYN,262,KINGS HIGHWAY,11223,7183330037,Russian,12/01/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,12/01/2011,02/06/2016,Cycle Inspection / Initial Inspection
41158265,DEJAVU RESTAURANT,BROOKLYN,262,KINGS HIGHWAY,11223,7183330037,Russian,12/01/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,12/01/2011,02/06/2016,Cycle Inspection / Initial Inspection
41490270,BROADWAY THAI @TOM & TOON,MANHATTAN,245,WEST   51 STREET,10019,2122264565,Thai,12/02/2011,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,9,A,12/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41490270,BROADWAY THAI @TOM & TOON,MANHATTAN,245,WEST   51 STREET,10019,2122264565,Thai,12/02/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,9,A,12/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,12/02/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,12,A,12/02/2011,02/06/2016,Cycle Inspection / Re-inspection
41142211,TELEPAN,MANHATTAN,7274,WEST 69 STREET,10023,2125804300,American ,12/02/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,12/02/2011,02/06/2016,Cycle Inspection / Re-inspection
40950507,YUMMY SUSHI,MANHATTAN,30,ROCKFEELLER PLAZA,10020,2124592100,Japanese,12/05/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,21,,,02/06/2016,Cycle Inspection / Compliance Inspection
40950507,YUMMY SUSHI,MANHATTAN,30,ROCKFEELLER PLAZA,10020,2124592100,Japanese,12/05/2011,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,21,,,02/06/2016,Cycle Inspection / Compliance Inspection
40868689,PITA PAN CAFE,MANHATTAN,273,8 AVENUE,10011,2123373071,Middle Eastern,12/05/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,12/05/2011,02/06/2016,Cycle Inspection / Re-inspection
40868689,PITA PAN CAFE,MANHATTAN,273,8 AVENUE,10011,2123373071,Middle Eastern,12/05/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,12/05/2011,02/06/2016,Cycle Inspection / Re-inspection
40868689,PITA PAN CAFE,MANHATTAN,273,8 AVENUE,10011,2123373071,Middle Eastern,12/05/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,12/05/2011,02/06/2016,Cycle Inspection / Re-inspection
41004673,BISTRO LE STEAK,MANHATTAN,1309      ,3 AVENUE                                          ,10021,2125173800,French,12/06/2011,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2,A,12/06/2011,02/06/2016,Cycle Inspection / Initial Inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,12/06/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,15,B,12/06/2011,02/06/2016,Cycle Inspection / Re-inspection
40553409,HAPPY FORTUNE,STATEN ISLAND,1022,ROSSVILLE AVE,10309,7189841168,Chinese,12/06/2011,Violations were cited in the following area(s).,02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,15,B,12/06/2011,02/06/2016,Cycle Inspection / Re-inspection
41209159,MESKEL ETHIOPIAN,MANHATTAN,199       ,EAST    3 STREET                                  ,10009,2122542411,Ethiopian,12/07/2011,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,14,,,02/06/2016,Cycle Inspection / Initial Inspection
41377997,RISPOLI PASTRY SHOP,STATEN ISLAND,1184,BAY STREET,10305,7182735300,Bakery,12/08/2011,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41377997,RISPOLI PASTRY SHOP,STATEN ISLAND,1184,BAY STREET,10305,7182735300,Bakery,12/08/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41377997,RISPOLI PASTRY SHOP,STATEN ISLAND,1184,BAY STREET,10305,7182735300,Bakery,12/08/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41377997,RISPOLI PASTRY SHOP,STATEN ISLAND,1184,BAY STREET,10305,7182735300,Bakery,12/08/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41377997,RISPOLI PASTRY SHOP,STATEN ISLAND,1184,BAY STREET,10305,7182735300,Bakery,12/08/2011,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,23,,,02/06/2016,Cycle Inspection / Initial Inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,12/09/2011,Violations were cited in the following area(s).,10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,13,A,12/09/2011,02/06/2016,Cycle Inspection / Re-inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,12/09/2011,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,13,A,12/09/2011,02/06/2016,Cycle Inspection / Re-inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,12/09/2011,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,13,A,12/09/2011,02/06/2016,Cycle Inspection / Re-inspection
41319697,GHENET BROOKLYN,BROOKLYN,348,DOUGLASS STREET,11217,7182304475,Ethiopian,12/09/2011,No violations were recorded at the time of this inspection.,22C,"Bulb not shielded or shatterproof, in areas where there is extreme heat, temperature changes, or where accidental contact may occur.",Not Critical,,,,02/06/2016,Administrative Miscellaneous / Re-inspection
40394762,CAROLINE'S ON BROADWAY,MANHATTAN,750       ,7 AVENUE                                          ,10019,2127574100,American ,12/09/2011,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,19,,,02/06/2016,Cycle Inspection / Initial Inspection
40394762,CAROLINE'S ON BROADWAY,MANHATTAN,750       ,7 AVENUE                                          ,10019,2127574100,American ,12/09/2011,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,19,,,02/06/2016,Cycle Inspection / Initial Inspection
40394762,CAROLINE'S ON BROADWAY,MANHATTAN,750       ,7 AVENUE                                          ,10019,2127574100,American ,12/09/2011,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,19,,,02/06/2016,Cycle Inspection / Initial Inspection
41006423,BROTHERS PIZZA II,STATEN ISLAND,95        ,PAGE AVENUE                                       ,10309,7189488700,Pizza/Italian,12/10/2011,Violations were cited in the following area(s).,09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,17,,,02/06/2016,Cycle Inspection / Initial Inspection
41006423,BROTHERS PIZZA II,STATEN ISLAND,95        ,PAGE AVENUE                                       ,10309,7189488700,Pizza/Italian,12/10/2011,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,,,02/06/2016,Cycle Inspection / Initial Inspection
